student_number,first_name,last_name,marital_status,previous_qualification_grade,admission_grade,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_enrolled
b035a457,Joe,Rodriguez,1,130.0,130.0,1,0,1,0,0,28,5
a72478ca,Rebecca,Greene,1,131.0,123.0,1,0,1,0,1,18,5
135f7c3a,Jonathan,Frey,1,140.0,140.0,0,0,1,0,1,26,6
9bc69b84,Raymond,Pierce,1,143.0,126.6,0,1,0,0,0,21,10
9f529381,Taylor,Howell,1,120.0,122.8,0,0,1,0,0,23,6
dcee6b22,Michael,Morrow,1,120.0,105.9,0,0,1,0,0,35,3
d3ecb74e,Chelsey,Rivera,1,130.0,145.0,0,0,1,0,0,25,7
ad62bf4e,Patrick,Sandoval,1,125.0,119.4,1,0,1,0,0,19,7
c7512b34,Martha,Harding,1,145.0,155.0,1,0,1,0,0,24,17
2962af75,Vincent,Lam,1,125.0,125.4,1,0,1,0,0,19,6
2cce3340,Sandra,Perez,1,127.0,123.2,1,0,1,0,0,18,6
aeb4510f,Garrett,Potter,1,116.0,110.8,0,0,1,0,0,18,6
0b09f2f2,Michael,Morrison,1,143.0,142.3,0,0,1,0,1,18,7
8af32c7d,John,Todd,1,123.0,113.9,0,0,1,0,0,18,6
8ea1a421,David,Caldwell,1,140.0,140.0,0,0,1,0,0,24,6
a73e102a,Maria,Crosby,1,119.0,115.5,1,0,1,0,0,19,6
2151174b,John,Wilson,1,160.0,147.8,0,0,1,0,0,20,7
a00538c5,Shannon,Hayes,1,141.0,128.8,1,0,1,0,0,19,5
45cd7b9a,Alan,Padilla,1,132.0,125.0,1,0,1,0,0,18,6
51379861,James,Hebert,1,135.0,136.8,1,0,1,0,0,18,5
c5de46ac,Cheyenne,Marshall,1,123.0,121.6,1,0,1,0,0,18,7
b04f122b,James,Elliott,1,129.0,125.9,1,0,1,0,0,19,5
832d5781,Kimberly,Meza,1,130.0,130.0,1,0,1,0,0,26,5
c13a2071,Amanda,Anderson,1,110.0,110.0,0,0,1,0,0,36,16
7f5c86ae,Ruth,Jimenez,1,96.0,100.0,0,0,1,0,0,20,6
b1eaa1a8,Steven,Smith,1,133.1,130.0,0,1,1,0,1,30,6
89494e9a,James,Glass,1,112.0,112.0,1,0,1,0,0,20,5
2ea48983,Nathan,Jones,1,136.0,133.0,1,0,1,0,0,19,7
3ac5262d,Joanna,George,1,134.0,131.2,0,0,1,0,0,19,5
55558f72,Lisa,Atkinson,4,130.0,148.0,0,0,1,0,1,31,5
41b97de9,Lance,Williams,2,133.1,104.0,0,1,1,0,0,42,11
2158d2ed,Edward,Nelson,1,125.0,116.6,1,0,0,0,1,18,7
9009456a,Lauren,Li,1,140.0,140.0,1,0,1,0,0,21,6
eb23a8ca,Beverly,Johnson,1,170.0,100.0,0,0,1,0,0,20,7
41408d8c,Heather,Sexton,1,135.0,121.0,0,0,1,0,0,19,6
6fa5ee00,Sherry,Acosta,1,134.0,122.5,1,0,1,0,0,22,6
c7825112,Amber,Clark,1,140.0,140.0,1,0,1,0,0,21,6
e47a05b1,Christina,Decker,1,150.0,140.0,0,0,1,0,0,26,7
2d0c07b1,Jonathan,Lowe,1,125.0,128.9,0,0,1,0,1,18,6
7c2fe319,Jessica,Williams,1,136.0,121.7,1,0,1,0,0,20,6
bf457da5,Lauren,Fisher,1,120.0,114.8,1,0,1,0,0,19,6
7a91c31a,Nicole,Mcdonald,1,128.0,127.0,0,0,1,0,0,19,6
21b40e66,Sandra,Roberts,1,116.0,112.2,1,0,1,0,0,20,5
d627aa98,Lauren,Wilson,1,122.0,118.2,0,0,1,0,1,20,6
bd9f1073,Steven,Phillips,1,147.0,100.0,0,0,1,0,0,18,2
30e4b91d,Colleen,Chaney,1,127.0,120.7,1,1,1,0,0,18,5
93245918,Matthew,Moyer,1,122.0,114.3,1,0,1,0,1,20,6
3bd6219f,Paul,Rodriguez,1,131.0,132.4,1,0,1,0,0,19,5
7cfb3e6e,Jason,Duran,1,148.0,129.8,0,0,1,0,0,20,6
c2227979,Victor,Kelley,1,133.0,131.3,1,0,1,0,0,20,6
28ed9d22,Crystal,Morton,1,128.0,118.6,1,0,1,0,1,21,6
a2eade60,Christopher,Clark,1,140.0,140.0,0,0,1,0,0,20,6
9d1c2089,Bryan,Fuller,1,101.0,101.0,1,1,1,0,0,22,6
05c1e6fc,Kimberly,Ballard,1,126.0,116.9,1,0,1,0,0,18,7
f8d13f36,Larry,Morrow,1,134.0,120.4,1,0,1,0,0,20,5
8eec48b6,Elizabeth,Phillips,1,125.0,132.0,0,0,0,0,0,18,6
e500b275,Andrew,Thomas,1,133.1,143.7,0,0,1,0,0,27,7
0c755e4b,Logan,Myers,1,140.0,152.8,0,0,1,0,0,26,7
3f946989,Ashley,Schwartz,1,121.0,120.7,1,0,1,0,0,18,6
9ae3bc6b,Bryan,Willis,1,133.1,100.9,1,0,1,1,0,24,5
a682392d,Nicholas,Davis,1,126.0,116.9,0,0,1,1,1,19,5
bdc69aec,Lori,Larson,1,117.0,118.4,0,0,1,1,0,20,5
cc4d0b68,Billy,Kim,1,127.0,121.1,1,0,1,1,1,18,5
c9c45b89,Rachel,Smith,1,133.0,121.8,0,0,1,1,0,20,5
8499b5e7,Kimberly,Collins,1,120.0,146.8,0,0,1,1,0,25,5
534f808c,Sean,Tate,1,133.1,138.0,0,1,1,1,0,22,6
324fea47,Andrew,Guerra,1,149.0,138.0,0,0,1,1,0,18,8
cc0a1b0f,Patricia,Lin,1,130.0,117.8,1,0,1,1,0,20,5
f7a4613c,Paul,Lee,1,130.0,130.0,1,1,1,1,0,23,6
53fc2155,David,Garcia,1,132.0,143.9,1,0,1,1,0,20,5
8858098e,Stephanie,Hernandez,1,121.0,116.8,0,0,1,1,0,20,5
77c3a5a5,Veronica,Davis,1,172.0,150.0,1,0,1,0,1,28,5
06cf7940,Jennifer,Becker,1,141.0,128.8,1,0,1,0,0,19,6
40f52644,Elizabeth,Stewart,1,133.0,126.7,0,0,1,0,0,19,7
7f6e4867,Matthew,Stephens,1,155.0,134.7,1,0,1,0,0,20,6
80080456,Kerri,Maldonado,1,119.0,113.2,0,1,1,0,0,20,6
3df13450,Robert,Willis,1,126.0,124.3,1,0,1,0,1,18,7
01adf6d2,Savannah,Wolfe,1,118.0,118.0,0,0,1,0,0,20,5
0696a54d,Caroline,Black,1,140.0,140.0,1,0,1,0,0,19,6
33d135b7,Brenda,Peters,1,117.0,109.7,1,0,1,0,0,19,6
c26f9767,Heather,Preston,1,120.0,123.2,0,0,1,0,0,27,5
0a2de33c,Alison,Parker,1,128.0,116.5,0,0,1,0,0,18,5
635a034e,Dawn,Cook,1,129.0,121.0,1,0,1,0,0,18,5
531f3a07,Belinda,Knox,1,143.0,133.8,1,0,1,0,0,18,8
e67f80c6,Katie,Sampson,1,130.0,131.8,1,0,1,0,1,19,5
9f20440a,Ricky,Murphy,1,135.0,121.0,0,0,1,0,0,21,6
fbdfb616,Troy,Boone,1,140.0,143.3,1,0,0,0,0,23,12
afc77e4a,Emily,Grant,1,125.0,114.9,1,1,1,0,1,19,6
8562936f,Melinda,Wade,1,135.0,121.0,0,1,1,0,0,18,6
e92665cc,Monique,Cervantes,1,117.0,117.4,1,0,1,0,0,19,7
0df9fa84,Jessica,Garza,1,133.0,126.7,1,0,1,0,0,18,6
0097b14a,David,Moore,1,140.0,130.0,0,0,1,1,0,21,6
f4acee22,Amy,Love,1,154.0,137.2,0,0,1,1,0,20,6
93db2449,Amy,Sharp,1,130.0,130.0,0,0,0,1,0,20,6
93d3950e,Hailey,Lee,2,123.0,123.0,0,0,1,1,0,37,5
9e7b8b4c,Stephanie,Chambers,1,142.0,138.5,1,0,1,1,0,18,6
26e825ca,Brian,Franco,1,115.0,113.6,0,0,1,1,0,23,6
5fae01eb,Michelle,Malone,1,141.0,133.3,1,0,1,1,0,18,6
2595e51a,Daniel,Carey,1,140.0,116.9,0,0,1,1,0,32,11
846d581a,Donna,Salazar,1,137.0,146.5,1,1,1,1,0,19,12
181440ce,Brandon,Gutierrez,1,137.0,144.7,1,0,1,1,0,20,0
22c87e19,Donald,Lester,1,133.1,100.0,0,1,1,1,0,40,5
94c0e886,Todd,Freeman,1,120.0,111.3,0,0,1,1,0,20,5
e3896212,Steven,Figueroa,1,150.0,150.0,1,0,1,0,0,20,5
c6ad737f,Anna,Turner,1,136.0,131.1,1,0,1,0,0,19,7
042ded58,Wyatt,Thomas,1,126.0,123.9,1,0,1,0,0,19,6
b8b1639f,Kevin,Jenkins,1,119.0,110.6,0,0,1,0,0,20,7
b1674c83,Diane,Gibson,1,154.0,129.0,1,0,1,0,0,18,8
006967bd,Calvin,Mccormick,1,127.0,137.2,1,0,1,0,0,18,6
bef4c301,Jamie,Bailey,1,130.0,130.0,1,0,0,0,1,22,6
8d0ea26c,Joseph,Smith,1,118.0,113.5,1,1,1,0,0,20,5
2a945615,Mary,Wilkins,1,143.0,141.3,0,1,0,0,0,23,6
571b3ccb,Yvonne,Vaughan,1,123.0,121.3,1,0,1,0,0,20,6
f4a91d16,Matthew,Johnson,1,130.0,120.0,0,0,1,0,0,21,5
a5d9389a,Meghan,Andrews,1,136.0,130.8,0,0,1,0,0,20,6
76f73ec7,Nicole,King,1,132.0,125.4,1,0,0,0,1,20,7
5ebc56a9,Erin,Leach,1,140.0,131.6,1,0,1,0,0,20,7
8cfa2a6b,Alex,Williams,1,120.0,120.0,0,1,1,0,0,21,5
4e9e3f63,Bobby,Mcintosh,1,133.0,121.8,1,0,1,1,0,18,5
2fed3ce4,Patrick,Rodriguez,1,131.0,126.6,1,0,1,1,0,23,7
bc9bbdbd,Jennifer,Carrillo,1,116.0,115.7,0,0,0,1,0,22,5
aeac162b,David,Christensen,1,122.0,113.3,1,0,1,0,0,18,5
907bf2f6,Justin,Benton,1,122.0,112.6,1,0,1,0,0,22,6
dcde67b9,Amanda,Gilbert,1,127.0,120.4,1,1,0,1,0,18,5
7e2960c9,Travis,Ward,1,135.0,131.5,0,0,1,1,1,21,7
19b77d8c,Catherine,Ray,1,112.0,113.8,1,0,1,0,0,21,6
4b1658fb,Jennifer,Mann,1,130.0,130.0,1,0,1,0,0,20,6
fb830584,Tina,Anderson,4,120.0,110.0,0,0,1,0,0,37,5
4b74985e,Shelly,King,2,133.1,100.0,0,1,1,0,0,37,8
6dee2773,Priscilla,Russell,1,140.0,129.3,1,1,1,0,0,28,6
b1f56d08,Elizabeth,Smith,1,125.0,122.2,1,0,1,0,0,18,5
36d0f24c,Glenn,Williams,1,100.0,121.3,1,0,1,0,0,34,8
7d6f259d,Rebecca,Hayes,1,150.0,150.0,0,0,1,0,0,31,6
50b23eb8,Shelley,Martinez,1,145.0,131.7,1,0,1,0,0,18,6
1738ce1e,Becky,Burns,2,133.1,130.0,1,0,1,0,0,31,6
56480f9c,Susan,Lloyd,1,149.0,141.0,0,0,1,1,0,18,5
d8ecb874,Lisa,Miles,1,150.0,120.0,0,0,1,1,0,24,5
db5ca9a0,Maria,Pitts,1,120.0,116.9,1,1,0,1,0,18,5
fca5c05c,Brian,Johnson,2,100.0,113.0,0,0,1,1,1,41,5
82c4873e,Patrick,Moreno,2,130.0,145.6,0,0,1,1,0,34,5
2cd84015,Desiree,Warner,1,113.0,107.8,1,0,1,0,1,20,7
4f6b9900,Kevin,Montgomery,1,130.0,130.0,1,0,1,0,0,22,6
cf94114b,Jason,Frank,1,120.0,115.1,0,0,1,0,1,18,6
be776a7e,Daniel,Yang,1,125.0,118.0,0,0,1,0,1,18,6
b615686c,Donna,Nelson,1,124.0,121.6,0,0,1,0,0,18,6
9d0db18d,Stacey,Aguirre,1,163.0,146.6,1,1,1,0,0,18,6
8bc6d5aa,Shane,Parks,1,145.0,142.2,0,0,1,0,0,19,6
245efed6,Samantha,Mcconnell,1,117.0,120.0,1,0,1,0,0,21,6
46163d2e,Michelle,Collins,1,114.0,108.8,1,0,1,0,0,18,7
5aecf141,Timothy,White,1,133.0,133.0,0,0,1,0,0,18,0
e37f5a17,Jason,Roberts,1,121.0,120.0,1,0,1,0,0,18,6
28afb290,Randall,Robles,1,123.0,113.2,0,0,1,0,0,21,10
d0483730,Dakota,Johnson,1,113.0,106.7,1,0,1,0,1,20,7
4776646c,Jeffrey,Snyder,1,120.0,140.0,0,0,1,0,0,25,5
6829c0b3,Charles,Everett,1,130.0,159.0,1,0,1,0,0,25,7
4012f11a,Samantha,Ward,1,170.0,140.0,1,0,1,0,0,24,6
bd83bf75,Craig,Smith,1,138.0,131.0,1,0,1,0,0,19,5
1e4e8c3d,Ashley,Harris,1,121.0,123.8,0,0,1,0,1,19,5
26d1d7ca,Jacob,Ingram,1,132.0,122.6,1,0,1,0,1,20,5
67d8e96f,Rebecca,Martinez,1,131.0,132.8,1,0,1,0,0,18,0
6d915b84,Bradley,Fisher,1,120.0,115.8,0,0,1,0,0,18,7
4e1f9372,Matthew,Rubio,1,112.0,107.8,1,0,1,0,0,19,5
28eebf09,Monica,Maynard,1,138.0,127.5,1,0,1,0,0,19,7
404d3a29,James,Smith,1,118.0,117.3,1,0,1,0,0,19,5
87427bb5,Frances,Rhodes,4,130.0,130.0,1,0,1,0,0,32,7
3bd87e6c,John,Small,1,130.0,115.2,0,0,1,1,0,24,5
393c1058,Bobby,Bryant,1,133.1,96.0,1,0,1,0,0,19,7
fa53b5e3,James,Santana,2,120.0,120.0,1,0,1,0,0,45,11
237795ea,Stephanie,Curtis,1,125.0,128.5,1,0,1,0,0,18,7
bd6850ce,Christopher,Blake,2,133.1,120.0,0,1,1,0,0,37,6
74c1517c,Benjamin,Woods,1,123.0,113.2,0,0,1,0,1,20,6
51012434,Shawn,Burnett,1,126.0,121.3,1,0,1,0,1,18,7
bf880063,Daniel,Garza,1,140.0,140.0,1,1,1,0,0,21,9
cdb6893f,Preston,James,1,133.1,100.0,0,0,1,1,0,25,5
26e45da4,Joann,Walsh,1,140.0,140.0,1,1,1,0,0,21,6
5eeb8764,James,Rivera,1,170.0,170.0,1,0,1,0,0,19,5
e43a46e3,Andrew,Shepard,1,140.0,135.0,0,1,1,0,0,23,11
05815875,Nathan,Hall,1,121.0,113.7,0,0,1,0,0,18,6
9b61a7ae,Kathleen,Parks,1,133.1,116.5,0,0,1,1,1,24,6
f508f828,Ashley,Smith,1,129.0,132.9,1,0,1,1,1,20,6
f398f518,Amy,Johnson,1,120.0,117.2,0,0,1,1,1,18,5
851dd5d8,Jason,Mccoy,1,118.0,123.3,1,0,1,1,0,26,6
93d0b52e,Bradley,Holmes,1,127.0,118.3,1,0,1,0,0,18,6
9a929d9a,Alicia,Lin,1,123.0,113.6,1,0,1,0,0,19,5
8765f10e,Katherine,Coleman,1,123.0,115.3,1,0,1,0,0,20,7
2892991b,Joseph,Murillo,1,125.0,118.7,1,0,1,0,0,18,5
f3b731a4,James,Brown,1,101.0,98.9,1,0,1,0,0,21,6
cebcc995,Andrea,Marshall,1,120.0,113.4,0,0,1,0,0,18,6
cbcef0ea,Kelly,Pittman,1,107.0,103.5,1,0,1,0,0,20,6
517b23fa,Nancy,Burns,1,126.0,126.0,1,0,1,0,0,19,6
70e8b3ee,Laura,Anderson,1,133.1,121.7,0,0,1,0,1,27,7
8bc78501,Dustin,Johnson,1,147.0,142.8,1,1,0,0,1,19,5
99027657,Brad,Young,1,128.0,120.5,1,0,1,0,1,19,7
67df44a9,Evan,Hughes,1,140.0,144.9,1,1,0,0,0,23,11
4020303c,Diane,Carpenter,1,108.0,105.9,0,0,1,0,1,20,6
12075127,Jeremy,White,1,132.0,124.3,0,0,1,0,0,20,6
8bd09c36,Michelle,Morrow,1,136.0,122.7,1,0,1,1,0,18,5
c6053320,Michele,Welch,1,118.0,112.4,1,0,1,1,0,21,5
9675b28c,Tyler,Ford,1,133.1,138.0,1,0,1,0,0,20,6
fe4e5cb4,Michael,Wood,1,140.0,138.3,1,0,1,0,0,18,0
18a21dba,Kari,Watkins,1,132.0,124.3,1,0,1,0,0,19,6
2454b5fb,Jack,Perkins,1,122.0,126.9,1,0,1,0,1,19,6
aa057732,Jenna,Simpson,1,127.0,123.5,1,0,1,0,1,19,5
101727b6,Michael,Rojas,1,140.0,129.5,1,0,1,0,0,18,5
1bab174e,Jeanne,Huff,1,143.0,133.2,1,0,1,0,0,19,6
c769cdb2,Victoria,Stevenson,3,138.0,133.5,1,0,1,0,1,21,6
470ea076,Wanda,Harmon,1,129.0,122.0,1,0,1,0,1,18,6
db3bee20,Cindy,Martin,1,130.0,125.1,1,0,1,0,1,18,7
9b467de1,Susan,Wilkerson,1,160.0,160.0,0,1,1,0,0,19,6
72073e25,Michael,Johnson,1,121.0,114.0,0,0,1,1,0,20,5
0ef34319,Tracy,Thomas,1,123.0,117.8,0,0,1,1,0,20,5
328ea73c,Rick,Sanford,1,122.0,114.3,1,0,1,1,0,18,7
bc5ecf8a,Kevin,Shaw,1,136.0,129.7,1,0,1,1,0,19,6
1956aeb5,Catherine,Ramos,1,121.0,122.4,1,0,1,1,0,19,5
e69843ca,Jeffrey,Porter,1,135.0,135.0,1,0,1,1,0,20,6
4d7adbcd,Scott,Burch,2,126.0,122.9,1,0,1,1,0,21,5
220273c3,Todd,Sanchez,1,120.0,124.2,1,0,1,1,0,18,5
294fec24,Stephen,Dorsey,1,130.0,130.0,1,0,1,1,0,20,6
c1b0ee1e,Leslie,Martin,1,131.0,123.7,1,0,1,1,0,20,5
efe31a5a,Brandy,Mcdowell,1,133.1,96.0,1,0,1,0,1,25,6
a670c0a0,Sydney,Collins,4,140.0,150.0,0,0,1,1,0,28,6
11eadb8f,Bobby,Paul,2,130.0,163.7,0,0,1,0,0,35,7
411f7078,Mackenzie,Brown,1,130.0,130.0,0,0,1,0,0,27,8
24f53f1b,Mark,Santiago,1,160.0,160.0,0,0,1,0,1,31,5
40d75847,Tabitha,Reeves,2,133.1,150.0,0,0,1,1,0,47,5
e7b21057,Brian,Hall,1,133.0,141.4,0,0,1,1,1,20,0
8554c1ce,Lindsey,Blackburn,1,134.0,141.7,1,0,1,1,0,18,0
b2697730,Sara,Mendoza,4,133.1,100.7,0,0,1,0,0,39,6
cc81799b,Brittany,Kaufman,1,180.0,180.0,0,1,1,1,0,30,5
c0960daf,Angela,Ewing,2,140.0,140.0,0,0,1,0,0,41,6
df720fed,Jonathan,Skinner,1,125.0,122.2,0,0,0,0,0,18,6
722fd5c6,Cynthia,Franklin,1,139.0,143.6,1,1,1,1,0,18,5
6594a2d2,Larry,Thompson,1,133.1,100.0,0,0,1,1,0,20,7
53aab52c,Elizabeth,Jacobs,1,137.0,130.0,1,0,1,0,0,21,6
afc7966c,Krystal,York,1,140.0,140.0,1,1,0,0,0,20,6
3f76715d,Samuel,Wallace,1,106.0,106.0,0,0,1,0,0,20,6
acba9c86,Ryan,Alexander,1,137.0,137.0,0,1,1,0,0,19,7
26461130,Melissa,James,2,121.0,114.4,1,0,1,0,0,45,12
7509c953,Stephen,Adams,1,100.0,120.7,0,0,1,0,0,28,5
ecce0514,Daniel,Young,1,158.0,164.3,1,0,1,1,1,18,0
25345ff3,Steven,Hill,1,133.0,122.5,1,0,1,0,0,18,6
c7aa6237,Lauren,Peterson,1,132.0,131.3,1,0,1,0,0,18,5
9671cb3e,Allen,Short,1,133.1,117.0,1,0,1,1,0,21,5
7dafe7d6,Theresa,Davis,1,120.0,122.8,1,0,1,1,0,18,5
937fbcb2,Kyle,Wilson,1,118.0,118.4,1,0,1,1,0,19,5
50e3a7b1,Brenda,Bailey,1,127.0,128.1,0,0,1,1,0,19,5
1072fe91,Richard,Lozano,1,133.1,99.0,1,0,1,1,0,22,7
4649a61c,Noah,Jackson,1,110.0,111.3,0,0,1,1,0,21,6
702e3b66,Dylan,Whitney,1,125.0,121.5,1,0,1,1,0,18,6
95f2a4fd,Scott,Hunt,1,130.0,130.0,1,1,1,1,0,20,12
60b32ffb,Nicole,Garcia,1,128.0,125.2,1,0,1,1,0,18,6
81bdfa91,John,Gillespie,1,134.0,123.9,1,0,1,1,0,18,5
0dbc0d2e,Traci,Hernandez,1,130.0,100.0,0,0,1,1,0,54,13
98bcd634,John,Gonzales,1,141.0,124.3,0,0,1,0,0,19,8
b4ee95e8,Scott,Clark,1,120.0,120.0,0,0,1,0,0,27,5
964c3bc5,Angela,Scott,1,130.0,129.0,0,0,1,0,0,20,5
19164a9e,Anna,Nguyen,1,136.0,152.5,1,0,1,0,0,20,0
29a23cb2,Gregory,Williams,1,150.0,138.1,1,0,1,0,0,19,6
40cb761d,Timothy,Miller,1,133.1,127.7,0,0,1,0,0,25,5
8fb71c91,David,Lloyd,1,128.0,124.5,1,0,1,1,0,19,5
32b3516f,Carrie,Gray,1,117.0,109.3,0,0,1,1,0,19,6
694b5672,Taylor,Carr,1,124.0,121.2,1,0,1,1,0,20,0
7a693226,Marie,Roy,1,131.0,123.3,0,0,1,1,0,19,5
36933b0a,William,Graves,1,131.0,135.9,0,0,1,1,0,18,5
d304b3e2,Kelsey,Wood,1,117.0,117.0,1,0,1,1,0,19,5
5da97bee,Stephanie,Diaz,1,130.0,130.0,0,0,1,0,0,31,6
75870c7c,Nicholas,Stephenson,1,140.0,140.0,0,1,0,0,0,24,6
fd6c846a,Seth,Kim,2,100.0,130.0,0,0,1,1,1,33,8
e1f73710,Brenda,Gardner,1,130.0,130.0,1,0,1,0,1,20,6
8959cbd0,Douglas,Singh,2,140.0,172.0,0,0,1,1,0,44,11
e8fa289f,Terri,Weber,1,130.0,118.1,1,0,1,1,0,18,7
1a115228,Monique,Zimmerman,1,122.0,116.1,1,0,1,1,0,19,6
93749043,Stephanie,Rivera,1,120.0,120.0,1,0,1,1,0,21,9
a75828bb,Jorge,Washington,1,152.0,134.2,1,0,1,1,0,20,6
5aa389b8,Christopher,Coleman,1,150.0,150.0,0,0,1,1,0,20,5
a33f58ad,Daniel,Rose,1,150.0,143.4,0,0,0,1,1,18,5
dfce69a4,Steven,Hartman,1,145.0,143.6,0,1,1,1,0,19,12
27b6c98d,John,Jenkins,1,170.0,170.0,0,0,0,1,0,26,8
fc8ebf04,Roy,Jordan,1,116.0,115.2,0,1,1,1,0,32,7
eb52b88f,Tammy,Pope,1,134.0,121.4,1,0,1,0,1,23,6
f165385e,Sophia,Sanders,1,133.1,134.8,0,0,1,0,0,24,5
2479b8da,Misty,Torres,1,140.0,140.0,1,0,1,1,0,25,6
a58c7a06,Jeffrey,Hampton,1,108.0,112.2,1,0,1,1,0,19,6
e2c148a3,Brittany,Jackson,1,133.1,139.0,0,0,1,1,0,21,6
bcc6ea58,Megan,Romero,1,122.0,116.1,1,1,1,1,0,19,5
6ab098f1,Jeffrey,Holland,1,123.0,110.0,0,0,1,1,0,25,5
42f7f6a8,Karen,Goodman,1,136.0,118.4,1,0,1,0,0,21,7
7c2f0d18,Mark,Chavez,1,117.0,111.1,0,0,1,1,1,19,5
4555c47f,Mark,Bush,1,131.0,126.8,0,0,0,1,1,18,5
73088592,Stacy,Crawford,1,133.1,140.0,0,1,1,1,0,24,6
2e8a6721,Diana,Newman,1,130.0,130.0,1,0,0,0,0,19,6
619d6aa2,Johnny,Hunter,1,122.0,114.8,1,0,1,0,1,19,7
64b3add0,Timothy,Lee,1,162.0,138.6,1,0,1,0,0,19,5
53851961,Amanda,Warren,1,125.0,118.4,1,0,1,0,0,21,5
75cde2d3,George,Herring,1,128.0,122.1,0,0,1,0,1,18,5
53f1487e,Brandon,Contreras,2,133.1,109.0,1,0,1,0,0,39,7
cce74ccf,Susan,Allen,1,128.0,121.0,1,1,1,1,0,20,5
a7b7e464,William,Kaufman,1,135.0,122.1,0,0,1,1,0,19,6
f9a79f47,Lori,Flores,2,130.0,130.0,0,0,1,1,0,27,2
69d5843e,Joshua,Bennett,1,110.0,125.9,0,0,1,1,0,34,5
b16f0657,Andrew,Mays,2,160.0,160.0,0,1,1,1,0,41,7
d1cd306c,Ashley,Herrera,2,133.1,115.2,0,0,1,0,0,48,7
3122a626,Rebecca,Adkins,1,147.0,145.3,1,0,1,0,0,18,0
984e07bc,Luke,Chandler,1,124.0,132.1,1,0,1,0,0,19,6
ff3b8048,Charles,Burke,1,105.0,102.6,0,0,1,0,0,21,6
9839075b,Kathleen,Lynch,1,112.0,106.1,1,0,1,0,0,19,6
3584cf96,William,Acosta,1,151.0,100.0,0,1,1,0,0,20,6
bb5dc342,Adam,Smith,1,140.0,140.0,1,0,1,0,0,20,6
9139134f,Brenda,Parker,1,142.0,132.6,0,0,1,0,0,18,6
cef990f7,Dawn,Green,1,123.0,124.8,0,0,0,0,1,18,6
180f70e4,Jerry,Jackson,1,140.0,133.8,1,0,1,0,0,17,8
ef1d98bf,Matthew,Harris,1,125.0,122.6,1,0,1,0,0,18,6
594bf124,Henry,Taylor,1,130.0,130.0,1,1,0,0,0,24,9
890f2bb1,Becky,Harris,1,128.0,125.8,0,0,1,0,1,20,8
c1bc6584,Beth,Miles,1,135.0,121.0,1,0,1,0,0,18,5
