age_at_enrollment,curricular_units_1st_sem_approved,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade,debtor,displaced,gender,scholarship_holder,tuition_fees_up_to_date,first_name,last_name,student_number
37,5,5,15.8,17.6,0,0,1,0,1,Charlie,Taylor,d30b4ed1
18,5,6,13.8,12.4,0,1,1,0,1,Dana,Brown,bb99a49c
23,6,6,13.0,12.0,0,0,1,0,1,Eli,Patel,9e93f261
18,4,6,13.75,11.2,0,1,1,0,1,Alice,Smith,55952e4e
32,7,11,11.285714285714286,12.333333333333334,0,0,1,0,1,Bob,Jones,28a936d5
19,11,12,12.0,11.181818181818182,1,1,1,0,1,Charlie,Taylor,ee92b6b6
20,0,0,0.0,0.0,0,1,1,0,1,Dana,Brown,578dd428
40,1,5,11.0,10.0,1,0,1,0,1,Eli,Patel,c705b4d9
20,5,5,10.2,11.2,0,0,1,0,1,Alice,Smith,357453cc
20,4,5,12.0,12.4,0,1,0,0,1,Bob,Jones,98578b00
19,6,7,13.411428571428573,13.294444444444444,0,1,0,0,1,Charlie,Taylor,3b31306b
19,4,6,11.8,12.2,0,1,0,0,1,Dana,Brown,9b9b6995
20,6,7,11.833333333333334,14.333333333333334,0,0,0,0,1,Eli,Patel,48e36a17
18,6,8,13.345,13.345,0,1,0,0,1,Alice,Smith,e18d7d76
18,6,6,12.166666666666666,12.75,0,1,0,0,1,Bob,Jones,8066f4e9
22,6,6,11.0,12.0,0,1,0,1,0,Charlie,Taylor,d5c35bbc
20,2,5,11.5,10.0,1,1,0,0,1,Dana,Brown,597edd1f
23,6,6,14.0,13.0,1,0,0,0,0,Eli,Patel,41b16cef
20,6,6,11.166666666666666,11.5,0,1,0,0,1,Alice,Smith,cc79ef47
21,5,5,12.8,12.666666666666666,0,0,0,0,1,Bob,Jones,ff815975
20,6,6,12.5,11.5,0,0,0,0,1,Charlie,Taylor,2dfc454f
20,7,7,13.462857142857144,13.164285714285716,0,1,0,1,0,Dana,Brown,3649f2fa
20,6,7,14.714285714285714,13.2,0,1,0,0,1,Eli,Patel,492d920a
21,5,5,13.2,12.5,1,0,0,0,1,Alice,Smith,9f68c76f
18,4,5,12.0,11.0,0,1,1,0,1,Bob,Jones,892862b6
23,5,7,12.414285714285713,13.5,0,1,1,0,1,Charlie,Taylor,b8b98564
22,4,5,11.5,14.0,0,0,1,0,0,Dana,Brown,abbd4d32
18,4,5,14.25,12.714285714285714,0,1,0,0,1,Eli,Patel,c069634a
22,5,6,12.6,11.25,0,1,0,0,1,Alice,Smith,6562c613
18,0,5,0.0,0.0,1,1,1,0,0,Bob,Jones,83936390
21,5,7,11.2,11.583333333333334,0,0,1,1,1,Charlie,Taylor,019551a5
21,6,6,10.833333333333334,11.0,0,1,0,0,1,Dana,Brown,5e600aaa
20,4,6,11.25,10.0,0,1,0,0,1,Eli,Patel,e815c7a9
37,2,5,10.0,11.333333333333334,0,0,0,0,1,Alice,Smith,751f8d41
37,7,8,11.375,12.166666666666666,1,0,0,0,1,Bob,Jones,4dca28d9
28,0,6,0.0,0.0,1,1,0,0,1,Charlie,Taylor,4d639766
18,1,5,11.0,12.5,0,1,0,0,1,Dana,Brown,4a2a1c04
34,7,8,11.705714285714285,11.705714285714285,0,1,0,0,1,Eli,Patel,e3b1ea73
31,6,6,12.0,13.428571428571429,0,0,0,0,1,Alice,Smith,1b7ee447
18,6,6,12.666666666666666,12.25,0,1,0,0,1,Bob,Jones,9397b265
31,0,6,0.0,0.0,0,1,0,0,1,Charlie,Taylor,0765d643
18,2,5,11.666666666666666,12.5,0,0,1,0,1,Dana,Brown,caa78f8e
24,3,5,10.666666666666666,10.5,0,0,1,0,1,Eli,Patel,8466e956
18,3,5,12.0,10.333333333333334,1,1,1,0,0,Alice,Smith,7b547de2
41,4,5,11.0,11.4,0,0,1,1,1,Bob,Jones,45c83df0
34,4,5,11.75,10.833333333333334,0,0,1,0,1,Charlie,Taylor,24d72eb9
20,5,7,14.46,13.55,0,1,0,1,1,Dana,Brown,ba22da02
22,5,6,12.8,11.5,0,1,0,0,1,Eli,Patel,4d1efec1
18,4,6,12.0,10.75,0,0,0,1,1,Alice,Smith,3a3569b9
18,6,6,14.333333333333334,14.0,0,0,0,1,1,Bob,Jones,16d7447b
18,5,6,12.333333333333334,10.6,0,0,0,0,1,Charlie,Taylor,0fa447eb
18,5,6,13.6,11.75,1,1,0,0,1,Dana,Brown,6802b4ca
19,4,6,12.5,12.5,0,0,0,0,1,Eli,Patel,08ff039a
21,5,6,12.2,12.6,0,1,0,0,1,Alice,Smith,c32aee28
18,5,7,11.4,13.333333333333334,0,1,0,0,1,Bob,Jones,70ce63fa
18,0,0,0.0,0.0,0,0,0,0,1,Charlie,Taylor,f0d9f839
18,3,6,12.0,10.25,0,1,0,0,1,Dana,Brown,66a8cf45
21,6,10,11.166666666666666,10.571428571428571,0,0,0,0,1,Eli,Patel,00f9ebd8
20,5,7,12.62,12.5,0,1,0,1,1,Alice,Smith,a16a7865
25,3,5,10.666666666666666,11.333333333333334,0,0,0,0,1,Bob,Jones,c5b88fbd
25,7,7,11.857142857142858,11.7,0,1,0,0,1,Charlie,Taylor,9277e132
24,4,6,15.75,16.4,0,1,0,0,1,Dana,Brown,5af4fd3f
19,4,5,11.0,10.666666666666666,0,1,0,0,1,Eli,Patel,f01d6ebb
19,5,5,12.4,11.0,0,0,0,1,1,Alice,Smith,8a72887d
20,3,5,12.0,12.625,0,1,0,1,1,Bob,Jones,97703ee2
18,0,0,0.0,0.0,0,1,0,0,1,Charlie,Taylor,5a2ed8e0
18,6,7,12.0,12.166666666666666,0,0,0,0,1,Dana,Brown,16d044aa
19,3,5,10.333333333333334,14.428571428571429,0,1,0,0,1,Eli,Patel,eefd2071
19,5,7,12.94,13.76,0,1,0,0,1,Alice,Smith,ce7fbfbc
19,4,5,12.25,12.0,0,1,0,0,1,Bob,Jones,8be51956
32,4,7,13.625,12.6375,0,1,0,0,1,Charlie,Taylor,d02ceaf0
24,4,5,12.0,12.666666666666666,0,0,1,0,1,Dana,Brown,b38c4da7
19,6,7,13.598333333333334,11.933333333333332,0,1,0,0,1,Eli,Patel,647ae62d
45,11,11,12.7,12.96818181818182,0,1,0,0,1,Alice,Smith,b15bc549
18,6,7,11.5,12.714285714285714,0,1,0,0,1,Bob,Jones,f56f6657
37,6,6,12.875,12.9,1,0,0,0,1,Charlie,Taylor,3c8ec4f1
20,4,6,10.75,11.5,0,0,0,1,1,Dana,Brown,553fee8f
18,6,7,13.533333333333331,12.228571428571428,0,1,0,1,1,Eli,Patel,1eb2e97b
21,8,9,13.25,12.2,1,1,0,0,1,Alice,Smith,d0779ada
25,1,5,11.0,10.0,0,0,1,0,1,Bob,Jones,4cefed84
21,1,6,12.0,11.0,1,1,0,0,1,Charlie,Taylor,1ead32e5
19,0,5,0.0,14.75,0,1,0,0,1,Dana,Brown,457ad4a9
23,8,11,12.375,12.6,1,0,0,0,1,Eli,Patel,cbc2b010
18,5,6,12.6,12.428571428571429,0,0,0,0,1,Alice,Smith,c7cadc80
24,4,6,12.25,11.5,0,0,1,1,1,Bob,Jones,3d1cbdcb
20,6,6,11.375,13.8,0,1,1,1,1,Charlie,Taylor,1bc1ede4
18,4,5,13.5,13.625,0,0,1,1,1,Dana,Brown,31ec6c4b
26,4,6,10.0,12.0,0,1,1,0,1,Eli,Patel,5063132b
18,6,6,12.333333333333334,12.0,0,1,0,0,1,Alice,Smith,504442a7
19,3,5,12.0,11.75,0,1,0,0,1,Bob,Jones,c9254b0f
20,6,7,13.5,14.0,0,1,0,0,1,Charlie,Taylor,009e1508
18,4,5,10.666666666666666,12.0,0,1,0,0,1,Dana,Brown,841dbea8
21,4,6,12.5,12.666666666666666,0,1,0,0,1,Eli,Patel,f0a60d4d
18,4,6,11.5,13.75,0,0,0,0,1,Alice,Smith,fd813bcc
20,3,6,11.2,12.0,0,1,0,0,1,Bob,Jones,1b605f47
19,5,6,13.0,10.4,0,1,0,0,1,Charlie,Taylor,bc7207b3
27,6,7,12.6,11.685714285714283,0,0,0,1,1,Dana,Brown,45e01868
19,5,5,12.8,12.0,1,1,0,1,0,Eli,Patel,1bbcf216
19,5,7,13.04,12.5,0,1,0,1,1,Alice,Smith,598c3784
23,11,11,13.166666666666666,13.333333333333334,1,1,0,0,0,Bob,Jones,477430ab
20,5,6,10.6,11.166666666666666,0,0,0,1,1,Charlie,Taylor,1632ae5a
20,6,6,13.428571428571429,12.666666666666666,0,0,0,0,1,Dana,Brown,3b9b9045
18,5,5,12.0,12.5,0,1,1,0,1,Eli,Patel,523cb9d3
21,4,5,11.5,10.6,0,1,1,0,1,Alice,Smith,0674cb5a
20,6,6,13.333333333333334,13.0,0,1,0,0,1,Bob,Jones,d48875d4
18,0,0,0.0,0.0,0,1,0,0,1,Charlie,Taylor,16f78563
19,5,6,12.2,10.8,0,1,0,0,1,Dana,Brown,eb340e60
19,4,6,11.0,11.666666666666666,0,1,0,1,1,Eli,Patel,ef199437
19,5,5,11.6,12.666666666666666,0,1,0,1,1,Alice,Smith,0aeb9d78
18,4,5,13.5,13.4,0,1,0,0,1,Bob,Jones,f614bfb1
19,5,6,13.4,13.5,0,1,0,0,1,Charlie,Taylor,be65bc6a
21,3,6,10.2,12.25,0,1,0,1,1,Dana,Brown,ee4d4791
18,6,6,10.833333333333334,11.0,0,1,0,1,1,Eli,Patel,2a0b60b3
18,6,7,12.816666666666668,12.875,0,1,0,1,1,Alice,Smith,bfe3c3dd
19,2,6,13.5,11.0,1,0,0,0,1,Bob,Jones,79238dc3
20,4,5,11.6,12.25,0,0,1,0,1,Charlie,Taylor,8bbc92a3
20,5,5,12.0,13.0,0,0,1,0,1,Dana,Brown,b62002b9
18,6,7,13.976666666666668,12.041666666666666,0,1,1,0,1,Eli,Patel,fbd08c7a
19,4,6,12.5,10.0,0,1,1,0,1,Alice,Smith,0e19964b
19,3,5,11.666666666666666,12.0,0,1,1,0,1,Bob,Jones,e999d532
20,6,6,11.833333333333334,10.4,0,1,1,0,1,Charlie,Taylor,00d177af
21,4,5,13.2,14.25,0,1,1,0,1,Dana,Brown,5889a859
18,5,5,12.0,11.4,0,1,1,0,1,Eli,Patel,2e497a2f
20,4,6,11.6,11.5,0,1,1,0,1,Alice,Smith,ebc4881b
20,4,5,12.0,12.5,0,1,1,0,1,Bob,Jones,c7cdc75a
25,6,6,11.285714285714286,12.2,0,1,0,1,1,Charlie,Taylor,8e559e3f
28,5,6,12.0,12.333333333333334,0,0,1,0,1,Dana,Brown,434aa6ee
35,5,7,13.34,10.84,0,0,0,0,1,Eli,Patel,a0fb5995
27,7,8,12.457142857142856,12.457142857142856,0,0,0,0,1,Alice,Smith,3268f761
31,4,5,10.5,10.5,0,0,0,1,1,Bob,Jones,ddf1e9f6
47,4,5,10.0,12.5,0,0,1,0,1,Charlie,Taylor,901d28dd
20,0,0,0.0,0.0,0,0,1,1,1,Dana,Brown,7e16ccc1
18,0,0,0.0,0.0,0,1,1,0,1,Eli,Patel,aef74e93
39,2,6,13.0,13.0,0,0,0,0,1,Alice,Smith,d77541ec
30,4,5,14.5,16.2,1,0,1,0,1,Bob,Jones,325fa72a
41,4,6,12.25,12.5,0,0,0,0,1,Charlie,Taylor,3ea61cb1
18,5,6,12.6,11.8,0,0,0,0,0,Dana,Brown,e1051e23
18,0,5,0.0,0.0,1,1,1,0,1,Eli,Patel,3ec15d47
20,7,7,12.857142857142858,12.75,0,0,1,0,1,Alice,Smith,0bcb1059
21,5,6,13.6,14.25,0,1,0,0,1,Bob,Jones,840c31af
20,3,6,12.0,11.0,1,1,0,0,0,Charlie,Taylor,84e0f502
20,6,6,13.166666666666666,14.0,0,0,0,0,1,Dana,Brown,45a42083
19,0,7,0.0,11.666666666666666,1,0,0,0,1,Eli,Patel,9e28baf0
45,12,12,14.0,13.857142857142858,0,1,0,0,1,Alice,Smith,b696d74e
28,4,5,11.25,13.0,0,0,0,0,1,Bob,Jones,119c871d
18,0,0,0.0,0.0,0,1,1,1,1,Charlie,Taylor,c48e074e
18,1,6,11.0,11.0,0,1,0,0,1,Dana,Brown,033a4555
18,4,5,12.0,12.25,0,1,0,0,1,Eli,Patel,1ff7cc4a
21,5,5,11.166666666666666,10.8,0,1,1,0,1,Alice,Smith,c7c382d5
18,4,5,11.5,10.333333333333334,0,1,1,0,1,Bob,Jones,19bbb9e7
19,2,5,10.5,11.75,0,1,1,0,1,Charlie,Taylor,ae7007f8
19,4,5,12.5,11.0,0,0,1,0,1,Dana,Brown,255edbcc
22,6,7,12.833333333333334,12.5,0,1,1,0,1,Eli,Patel,1dfb9288
21,6,6,12.285714285714286,14.25,0,0,1,0,1,Alice,Smith,818399bb
18,5,6,11.0,10.333333333333334,0,1,1,0,1,Bob,Jones,2a707675
20,11,12,12.545454545454543,11.625,1,1,1,0,1,Charlie,Taylor,06aff399
18,6,6,12.666666666666666,13.6,0,1,1,0,1,Dana,Brown,658d3d7e
18,5,5,13.0,12.4,0,1,1,0,1,Eli,Patel,7a845a32
54,13,13,13.307692307692308,12.818181818181818,0,0,1,0,1,Alice,Smith,5ee1fc79
19,7,8,14.514285714285714,14.514285714285714,0,0,0,0,1,Bob,Jones,2f768f74
27,5,5,15.2,14.0,0,0,0,0,1,Charlie,Taylor,b607b2bc
20,4,5,11.75,10.5,0,0,0,0,1,Dana,Brown,25f7abad
20,0,0,0.0,0.0,0,1,0,0,1,Eli,Patel,e0dba878
19,6,6,14.0,15.0,0,1,0,0,1,Alice,Smith,0db1365f
25,4,5,12.5,11.0,0,0,0,0,1,Bob,Jones,9357011c
19,3,5,10.666666666666666,14.0,0,1,1,0,1,Charlie,Taylor,55c53f1e
19,4,6,12.25,12.666666666666666,0,0,1,0,1,Dana,Brown,f5497031
20,0,0,0.0,0.0,0,1,1,0,1,Eli,Patel,6811e9cd
19,5,5,11.8,12.4,0,0,1,0,1,Alice,Smith,ab6c424e
18,2,5,14.0,11.0,0,0,1,0,1,Bob,Jones,41a5ecb9
19,4,5,10.75,12.25,0,1,1,0,1,Charlie,Taylor,1a4d842a
31,4,6,12.25,12.0,0,0,0,0,1,Dana,Brown,0e986666
24,4,6,12.5,11.5,1,0,0,0,0,Eli,Patel,40fd6423
33,1,8,10.0,10.0,0,0,1,1,1,Alice,Smith,67e34344
20,4,6,12.0,10.75,0,1,0,1,1,Bob,Jones,26c278c4
44,9,11,12.333333333333334,11.0,0,0,1,0,1,Charlie,Taylor,def4b048
18,6,7,12.035714285714286,13.75,0,1,1,0,1,Dana,Brown,7dc897de
19,5,6,12.2,12.0,0,1,1,0,1,Eli,Patel,5268db92
21,7,9,11.285714285714286,12.25,0,1,1,0,1,Alice,Smith,d4171414
20,5,6,11.8,12.0,0,1,1,0,1,Bob,Jones,8d0ddae2
20,0,5,0.0,10.5,0,0,1,0,1,Charlie,Taylor,1f06413a
18,5,5,14.2,14.2,0,0,1,1,0,Dana,Brown,fe0fd4f7
19,10,12,12.7,12.272727272727272,1,0,1,0,1,Eli,Patel,ee8f6804
26,8,8,15.125,13.666666666666666,0,0,1,0,0,Alice,Smith,d896387d
32,3,7,12.0,10.333333333333334,1,0,1,0,1,Bob,Jones,8fceacd0
23,4,6,14.25,12.0,0,1,0,1,1,Charlie,Taylor,a6d8b860
24,2,5,10.5,10.0,0,0,0,0,1,Dana,Brown,ced70b9d
25,5,6,11.666666666666666,12.0,0,1,1,0,1,Eli,Patel,b175c649
19,5,6,10.8,10.0,0,1,1,0,1,Alice,Smith,3eea2306
21,5,6,12.8,12.25,0,0,1,0,1,Bob,Jones,16f0e7e8
19,4,5,11.0,12.0,1,1,1,0,1,Charlie,Taylor,982595d2
25,3,5,11.0,11.5,0,0,1,0,1,Dana,Brown,950e6faf
21,4,7,13.125,12.333333333333334,0,1,0,0,1,Eli,Patel,cdb9a0a4
19,5,5,11.8,11.5,0,0,1,1,1,Alice,Smith,4c7ccd52
18,5,5,12.2,12.0,0,0,1,1,0,Bob,Jones,678d967e
24,6,6,14.88888888888889,13.727272727272728,1,0,1,0,1,Charlie,Taylor,8cbe92ae
19,5,6,13.0,11.666666666666666,0,1,0,0,0,Dana,Brown,d0be8ab6
19,4,7,12.65,11.1,0,1,0,1,1,Eli,Patel,aa5d9c62
19,1,5,11.0,0.0,0,1,0,0,1,Alice,Smith,2b380a43
21,3,5,11.333333333333334,10.5,0,1,0,0,1,Bob,Jones,0c1c0fd5
18,4,5,11.571428571428571,12.0,0,0,0,1,1,Charlie,Taylor,dd29137d
39,5,7,12.16,12.16,0,1,0,0,1,Dana,Brown,c40a280c
20,5,5,13.2,11.4,1,1,1,0,1,Eli,Patel,fd3d7adc
19,3,6,12.5,11.0,0,0,1,0,1,Alice,Smith,c23372b5
27,2,2,12.5,12.5,0,0,1,0,1,Bob,Jones,502816c9
34,0,5,0.0,11.0,0,0,1,0,1,Charlie,Taylor,3c085cc8
41,5,7,14.333333333333334,14.636363636363637,1,0,1,0,1,Dana,Brown,86c2febe
48,4,7,11.75,11.725,0,0,0,0,1,Eli,Patel,93c57e90
18,0,0,0.0,0.0,0,1,0,0,1,Alice,Smith,26dacf70
