student_number,first_name,last_name,age_at_enrollment,application_order,curricular_units_1st_sem_enrolled,daytime_evening_attendance,debtor,displaced,gender,marital_status,scholarship_holder,tuition_fees_up_to_date,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade
c845461d,Lee,Ortiz,47,1,1,1,1,0,0,3,0,1,0,0.0,0.0
1da50c74,Andrea,Love,28,1,5,1,0,1,0,1,0,1,4,11.25,10.5
b05e71cb,Ronald,Rios,18,1,5,1,0,1,0,1,1,1,3,11.666666666666666,13.5
814573e7,Pamela,Mills,26,1,6,0,0,0,0,1,1,1,6,12.666666666666666,13.166666666666666
973d3b34,Charles,Murphy,21,1,10,1,1,0,0,1,0,0,8,11.5,10.0
ab3b0fd3,Christina,Lam,23,1,6,0,0,0,0,1,0,1,2,10.0,10.0
e83fb3d3,Jeanette,Hayes,35,1,3,1,0,0,0,1,0,1,3,11.816666666666668,11.333333333333334
3e82d284,Nancy,Jones,25,1,7,1,0,0,0,1,0,1,6,12.125,13.3125
33a8bbf2,Steven,Murphy,19,3,7,1,0,1,0,1,0,1,6,12.471428571428572,11.4625
66582045,Kelly,Reese,24,1,17,1,0,1,0,1,0,1,11,12.909090909090908,13.555555555555555
fe4568a6,Daniel,Campbell,19,3,6,1,0,1,0,1,0,1,5,12.4,12.4
64d49b42,Eileen,Deleon,18,1,6,1,0,1,0,1,0,1,1,11.0,0.0
32e87dd9,Ann,Riley,18,3,6,1,0,0,0,1,0,1,6,11.833333333333334,12.5
b59ed9e2,Deborah,Mills,18,1,7,1,0,0,0,1,1,1,7,13.79714285714286,13.775
f29d3644,Randall,Lee,18,1,6,1,0,0,0,1,0,1,6,12.5,12.333333333333334
3a42f7f3,Bonnie,Bentley,24,1,6,1,0,0,0,1,0,1,6,11.428571428571429,13.0
e0dac159,Karen,Wilson,19,1,6,1,0,1,0,1,0,1,4,11.0,11.0
89024dfb,Alexandra,Garza,20,1,7,1,0,0,0,1,0,1,6,11.757142857142856,13.083333333333334
98497e3e,Samuel,Griffith,19,3,5,1,0,1,0,1,0,1,3,10.333333333333334,13.0
4eeb8b1a,Christina,Short,18,1,6,1,0,1,0,1,0,1,5,12.6,11.4
355fc9d0,William,Diaz,18,1,5,1,0,1,0,1,0,1,5,14.0,11.6
f6bbd5d2,Brandon,Jones,18,1,7,1,0,1,0,1,0,1,5,12.0,12.666666666666666
81184dcf,Edward,Reyes,19,1,5,1,0,1,0,1,0,1,4,12.0,12.0
4db92fa4,Tammy,Smith,26,1,5,1,0,1,0,1,0,1,4,13.0,12.0
4a752bd9,Jacob,May,36,1,16,1,0,0,0,1,0,1,13,10.692307692307692,12.307692307692308
f63c8863,Aaron,Atkinson,20,2,6,0,0,0,0,1,0,1,5,12.0,11.25
6199c2ef,Jeanette,Williams,30,1,6,1,1,0,0,1,1,1,0,0.0,0.0
ef216add,Kelli,Rodriguez,20,4,5,1,0,1,0,1,0,1,3,10.333333333333334,11.0
02b66e2b,Erica,Campbell,19,4,7,1,0,1,0,1,0,1,5,13.98,13.98
a393e5a8,Andre,Sanders,19,1,5,1,0,0,0,1,0,1,1,11.0,11.2
459e01ae,Franklin,Williams,31,1,5,0,0,0,0,4,1,1,4,11.25,10.833333333333334
b57b70e9,Todd,Simmons,42,1,11,0,1,0,0,2,0,1,10,11.9,12.8
5c4111d0,Dawn,Santos,18,1,7,1,0,1,0,1,1,0,7,12.285714285714286,13.333333333333334
de76eb9f,Jeffrey,Delacruz,21,1,6,1,0,1,0,1,0,1,5,12.666666666666666,13.5
a640accb,Carrie,Cox,20,1,7,1,0,0,0,1,0,1,6,13.25,13.75
6cbebcc3,Mark,Parker,19,1,6,1,0,0,0,1,0,1,3,10.333333333333334,10.333333333333334
d2913061,Daniel,Hall,22,1,6,1,0,1,0,1,0,1,5,13.166666666666666,12.4
bf763d62,Jeffrey,Delacruz,21,1,6,1,0,1,0,1,0,1,4,12.75,11.0
d8b42b1a,Emily,Cook,26,1,7,1,0,0,0,1,0,1,5,11.2,12.14
0f41593d,Travis,Harris,18,4,6,1,0,0,0,1,1,1,5,11.6,11.2
cfe4db2d,Lindsey,Rivera,20,1,6,1,0,1,0,1,0,1,3,10.333333333333334,10.333333333333334
1bab34aa,Tammy,Moreno,19,1,6,1,0,1,0,1,0,1,4,12.25,11.0
e5d17661,Joshua,Howell,19,1,6,1,0,0,0,1,0,1,6,12.0,12.75
fe14bedc,Rebekah,Stevens,20,1,5,1,0,1,0,1,0,1,3,11.333333333333334,10.666666666666666
9e01a4e9,Janet,Jones,20,1,6,1,0,0,0,1,1,1,4,11.25,10.5
3551d180,Gabriel,Marshall,18,1,2,1,0,0,0,1,0,1,0,0.0,16.0
f25e233b,John,Booker,18,1,5,1,1,1,0,1,0,1,1,12.0,12.0
acec2bd7,Raven,Lee,20,3,6,1,0,1,0,1,1,1,5,12.8,12.8
71b6d1b3,Kelly,Wilcox,19,3,5,1,0,1,0,1,0,1,5,11.8,11.25
5ead0612,Jon,Weiss,20,1,6,1,0,0,0,1,0,1,5,10.6,10.4
23612ab0,Leah,Ortiz,20,1,6,1,0,1,0,1,0,1,5,14.333333333333334,12.625
67c78b76,Dana,Gallagher,21,1,6,1,0,1,0,1,1,1,5,13.2,11.8
02eb363e,Jose,Flores,20,1,6,1,0,0,0,1,0,1,6,12.666666666666666,13.0
9b9bfcc5,Nina,Garcia,22,1,6,1,1,1,0,1,0,1,5,13.333333333333334,11.4
a122eed4,Anthony,Madden,18,1,7,1,0,1,0,1,0,1,6,10.666666666666666,12.833333333333334
3a93d799,Christina,Garner,20,3,5,1,0,1,0,1,0,1,3,11.333333333333334,12.6
5091bb22,Ronnie,Spencer,18,1,6,1,0,0,0,1,0,0,5,12.2,10.833333333333334
ea22d4d1,Russell,Gilbert,27,1,7,1,0,0,0,1,0,1,4,14.0,12.525
f1782f94,Shelia,Johnson,26,1,7,1,0,0,0,1,0,1,7,14.75,13.8
decab07e,David,Clark,18,2,6,1,0,1,0,1,0,1,4,10.75,0.0
33467830,Ryan,Mason,24,1,5,1,0,1,1,1,0,1,1,12.0,10.5
67721068,Nancy,Bailey,19,1,5,1,0,0,1,1,1,1,3,11.666666666666666,11.666666666666666
7a212291,Cynthia,Winters,20,1,5,1,0,0,1,1,0,1,5,10.0,12.0
bd775114,Ryan,Alexander,18,2,5,1,0,1,1,1,1,1,5,13.2,12.6
c5370ea5,John,Harris,20,2,5,1,0,0,1,1,0,1,4,10.2,11.0
e5daa4eb,Teresa,Watson,25,1,5,1,0,0,1,1,0,1,5,14.2,13.5
18586563,Miranda,Daniels,22,1,6,1,1,0,1,1,0,1,6,12.625,14.5
ed9511aa,Paul,Shaw,18,1,8,1,0,0,1,1,0,1,6,13.496666666666668,13.496666666666668
aa94f419,Amy,Casey,20,1,5,1,0,1,1,1,0,1,3,11.0,12.0
83485583,Matthew,Hancock,23,1,6,1,1,1,1,1,0,1,3,11.5,10.666666666666666
8943c808,Danielle,Vargas,20,1,5,1,0,1,1,1,0,1,2,11.0,12.666666666666666
3a8ce561,Maria,Anderson,20,6,5,1,0,0,1,1,0,1,3,12.4,10.833333333333334
35f4fadd,James,Jimenez,28,2,5,0,0,1,0,1,1,1,5,10.6,10.2
2ddde91a,Edward,Willis,19,1,6,1,0,1,0,1,0,1,6,14.833333333333334,13.285714285714286
15185834,Rebecca,Velazquez,19,1,7,1,0,0,0,1,0,1,4,12.45,11.7
68de0edf,Alexandra,Chung,20,1,6,1,0,1,0,1,0,1,5,13.4,13.0
8e77dea7,Luis,Williams,20,1,6,1,1,0,0,1,0,1,6,13.333333333333334,14.0
b266fde4,Gabriel,Melton,18,3,7,1,0,1,0,1,1,1,5,11.98,11.98
dbb58fa7,Henry,Blake,20,3,5,1,0,0,0,1,0,1,4,11.0,13.2
f2d8e8a0,Christian,Carpenter,19,1,6,1,0,1,0,1,0,1,5,12.666666666666666,11.75
4aef8d16,Barbara,Foster,19,2,6,1,0,1,0,1,0,1,5,12.2,13.0
58e4f92d,Cathy,Austin,27,1,5,0,0,0,0,1,0,1,3,10.666666666666666,11.4
2d1b15fe,Brad,Cabrera,18,6,5,1,0,0,0,1,0,1,3,11.666666666666666,11.0
6b9ebd81,Kristin,Roberson,18,1,5,1,0,1,0,1,0,1,2,10.5,12.333333333333334
0d5eac2a,Daniel,Martinez,18,3,8,1,0,1,0,1,0,1,8,14.26875,14.26875
9345c0ff,Pamela,Harvey,19,1,5,1,0,1,0,1,1,1,2,10.5,13.333333333333334
7ab709ad,Tammy,Jones,21,1,6,1,0,0,0,1,0,1,5,11.2,10.0
303c5b06,Paula,Rivera,23,1,12,1,0,1,0,1,0,0,9,13.666666666666666,13.5
e03a981b,Sandra,Watson,19,4,6,1,1,1,0,1,1,1,5,11.4,10.0
fbae4d74,Seth,Smith,18,1,6,1,1,0,0,1,0,1,5,10.6,10.0
77146204,Megan,Arnold,19,1,7,1,0,1,0,1,0,1,5,11.8,11.708333333333334
507e9b91,Alexandra,Banks,18,1,6,1,0,1,0,1,0,1,5,11.833333333333334,12.0
5214fea0,Sandra,Rice,21,1,6,1,0,0,1,1,0,1,6,12.571428571428571,13.0
149acd4b,Joseph,Gregory,20,1,6,1,0,0,1,1,0,1,3,10.0,10.8
f4ff408e,Natalie,Dunlap,20,1,6,1,0,0,1,1,0,0,5,13.2,12.0
5773fd81,David,Bailey,37,1,5,0,0,0,1,2,0,1,5,15.8,17.6
5c604ae8,Chris,Price,18,1,6,1,0,1,1,1,0,1,5,13.8,12.4
c9c8bfd2,Christine,Lara,23,1,6,1,0,0,1,1,0,1,6,13.0,12.0
eaa21803,Austin,Moran,18,1,6,1,0,1,1,1,0,1,4,13.75,11.2
600b4e56,Melissa,Bauer,32,1,11,1,0,0,1,1,0,1,7,11.285714285714286,12.333333333333334
705c18c1,Julie,Gaines,19,1,12,1,1,1,1,1,0,1,11,12.0,11.181818181818182
38001422,Katherine,Cook,20,1,0,1,0,1,1,1,0,1,0,0.0,0.0
7de19685,Frank,Archer,40,1,5,1,1,0,1,1,0,1,1,11.0,10.0
8100eb4f,Jenna,Kramer,20,4,5,1,0,0,1,1,0,1,5,10.2,11.2
3dac087d,Robert,Mitchell,20,1,5,1,0,1,0,1,0,1,4,12.0,12.4
5432cef7,Kim,Baker,19,3,7,1,0,1,0,1,0,1,6,13.411428571428573,13.294444444444444
5a863c55,James,Blair,19,1,6,1,0,1,0,1,0,1,4,11.8,12.2
416482ca,Kyle,Henry,20,1,7,1,0,0,0,1,0,1,6,11.833333333333334,14.333333333333334
94adc237,Sophia,Blanchard,18,3,8,1,0,1,0,1,0,1,6,13.345,13.345
6eac705e,Dominique,Ochoa,18,1,6,1,0,1,0,1,0,1,6,12.166666666666666,12.75
0f412b37,Joshua,Bolton,22,1,6,1,0,1,0,1,1,0,6,11.0,12.0
706be81b,Aaron,Sanchez,20,2,5,1,1,1,0,1,0,1,2,11.5,10.0
90469779,Anthony,Moore,23,1,6,1,1,0,0,1,0,0,6,14.0,13.0
e1b5cb2f,Julie,Lucero,20,5,6,1,0,1,0,1,0,1,6,11.166666666666666,11.5
195b5bbc,Hayley,Miller,21,1,5,1,0,0,0,1,0,1,5,12.8,12.666666666666666
08fcad43,Crystal,Cooper,20,1,6,1,0,0,0,1,0,1,6,12.5,11.5
dd22aa4b,Nathaniel,Wells,20,2,7,1,0,1,0,1,1,0,7,13.462857142857144,13.164285714285716
a6fa9628,Chloe,White,20,1,7,1,0,1,0,1,0,1,6,14.714285714285714,13.2
7e77234a,Kristina,Peterson,21,1,5,1,1,0,0,1,0,1,5,13.2,12.5
e7ead7e3,Jason,Farmer,18,3,5,1,0,1,1,1,0,1,4,12.0,11.0
cd4b90b9,Julie,Johnson,23,1,7,1,0,1,1,1,0,1,5,12.414285714285713,13.5
77027a0c,Kyle,Green,22,1,5,1,0,0,1,1,0,0,4,11.5,14.0
cd85ecbe,Kimberly,Hardy,18,1,5,1,0,1,0,1,0,1,4,14.25,12.714285714285714
9b970a73,Zachary,Martinez,22,2,6,1,0,1,0,1,0,1,5,12.6,11.25
f9884ba3,Ralph,Ramos,18,4,5,1,1,1,1,1,0,0,0,0.0,0.0
9050144b,Paul,Lawson,21,1,7,1,0,0,1,1,1,1,5,11.2,11.583333333333334
6e6c3a94,Brian,Fuller,21,1,6,1,0,1,0,1,0,1,6,10.833333333333334,11.0
aa657444,Jonathan,Franco,20,5,6,1,0,1,0,1,0,1,4,11.25,10.0
a9b19aac,Anna,Walker,37,1,5,0,0,0,0,4,0,1,2,10.0,11.333333333333334
c6bd7345,Anita,Ortiz,37,1,8,0,1,0,0,2,0,1,7,11.375,12.166666666666666
7d34a962,Justin,Wright,28,1,6,1,1,1,0,1,0,1,0,0.0,0.0
6019faab,Sheryl,Wood,18,5,5,1,0,1,0,1,0,1,1,11.0,12.5
06f93072,Devin,Oneal,34,1,8,1,0,1,0,1,0,1,7,11.705714285714285,11.705714285714285
a006d438,Nicholas,Waters,31,1,6,0,0,0,0,1,0,1,6,12.0,13.428571428571429
ae57070e,Monica,Jones,18,1,6,1,0,1,0,1,0,1,6,12.666666666666666,12.25
a5d6d367,Kayla,Martin,31,1,6,1,0,1,0,2,0,1,0,0.0,0.0
81070958,Nicholas,Mcknight,18,2,5,1,0,0,1,1,0,1,2,11.666666666666666,12.5
d6a8b4f8,Susan,Montes,24,1,5,1,0,0,1,1,0,1,3,10.666666666666666,10.5
81571db1,Robert,Taylor,18,3,5,1,1,1,1,1,0,0,3,12.0,10.333333333333334
72c625ab,James,Lewis,41,1,5,0,0,0,1,2,1,1,4,11.0,11.4
e08721af,Colleen,Atkins,34,1,5,0,0,0,1,2,0,1,4,11.75,10.833333333333334
9ea54b9f,Teresa,Shaw,20,3,7,1,0,1,0,1,1,1,5,14.46,13.55
84dfecf6,Yolanda,Jones,22,1,6,1,0,1,0,1,0,1,5,12.8,11.5
e2c77c77,Carla,Hebert,18,1,6,1,0,0,0,1,1,1,4,12.0,10.75
07db44c3,Jamie,Fitzgerald,18,3,6,1,0,0,0,1,1,1,6,14.333333333333334,14.0
9e5d5ee9,Dylan,Cruz,18,1,6,1,0,0,0,1,0,1,5,12.333333333333334,10.6
24d2ca14,Ronald,Smith,18,1,6,1,1,1,0,1,0,1,5,13.6,11.75
69790502,Rachel,Bell,19,1,6,1,0,0,0,1,0,1,4,12.5,12.5
60d80651,Jenna,Evans,21,1,6,1,0,1,0,1,0,1,5,12.2,12.6
004651f3,Donna,Clark,18,2,7,1,0,1,0,1,0,1,5,11.4,13.333333333333334
14d13be7,Robert,Watson,18,1,0,1,0,0,0,1,0,1,0,0.0,0.0
fea7a520,Benjamin,Hayes,18,2,6,1,0,1,0,1,0,1,3,12.0,10.25
c7df897a,Stacey,Cruz,21,1,10,1,0,0,0,1,0,1,6,11.166666666666666,10.571428571428571
adc80f73,Rachel,Freeman,20,2,7,1,0,1,0,1,1,1,5,12.62,12.5
ce8413e0,Justin,Levine,25,1,5,0,0,0,0,1,0,1,3,10.666666666666666,11.333333333333334
56296db9,Sierra,Harper,25,2,7,1,0,1,0,1,0,1,7,11.857142857142858,11.7
1ca8d5bc,Darlene,Harvey,24,1,6,1,0,1,0,1,0,1,4,15.75,16.4
9056c607,Aaron,Colon,19,1,5,1,0,1,0,1,0,1,4,11.0,10.666666666666666
21aafe5a,Donna,Brown,19,6,5,1,0,0,0,1,1,1,5,12.4,11.0
02138517,Richard,Brown,20,2,5,1,0,1,0,1,1,1,3,12.0,12.625
a7cf1e22,Steven,Hubbard,18,1,0,1,0,1,0,1,0,1,0,0.0,0.0
9686173d,Isabel,Cruz,18,2,7,1,0,0,0,1,0,1,6,12.0,12.166666666666666
7e737c0f,Lauren,Howell,19,3,5,1,0,1,0,1,0,1,3,10.333333333333334,14.428571428571429
a72aa8a3,Keith,Lee,19,1,7,1,0,1,0,1,0,1,5,12.94,13.76
11260ff8,Christopher,Burns,19,1,5,1,0,1,0,1,0,1,4,12.25,12.0
cbc74001,Gail,Mccoy,32,1,7,1,0,1,0,4,0,1,4,13.625,12.6375
1923ef72,Melissa,Travis,24,1,5,0,0,0,1,1,0,1,4,12.0,12.666666666666666
8b92bc77,Matthew,Brown,19,2,7,1,0,1,0,1,0,1,6,13.598333333333334,11.933333333333332
be7fcf79,Linda,Reeves,45,1,11,1,0,1,0,2,0,1,11,12.7,12.96818181818182
6ff1aaf0,Charles,Ball,18,1,7,1,0,1,0,1,0,1,6,11.5,12.714285714285714
49179919,Jeff,Carey,37,1,6,1,1,0,0,2,0,1,6,12.875,12.9
dd69ac2f,Patrick,Garcia,20,1,6,1,0,0,0,1,1,1,4,10.75,11.5
cbdfd8c2,Sheila,Wright,18,4,7,1,0,1,0,1,1,1,6,13.533333333333331,12.228571428571428
7ef8b932,Jill,Morgan,21,1,9,1,1,1,0,1,0,1,8,13.25,12.2
e3295abe,Gary,Kennedy,25,1,5,1,0,0,1,1,0,1,1,11.0,10.0
85232a49,Steven,Sharp,21,1,6,1,1,1,0,1,0,1,1,12.0,11.0
246e2455,Holly,Miranda,19,1,5,1,0,1,0,1,0,1,0,0.0,14.75
31c30862,Melissa,Bishop,23,1,11,0,1,0,0,1,0,1,8,12.375,12.6
47e4882d,Jamie,Davis,18,1,6,1,0,0,0,1,0,1,5,12.6,12.428571428571429
b1268fd3,Brian,Tucker,24,1,6,0,0,0,1,1,1,1,4,12.25,11.5
4523229c,Barbara,Shaffer,20,2,6,1,0,1,1,1,1,1,6,11.375,13.8
82a76c11,Jennifer,Lara,18,2,5,1,0,0,1,1,1,1,4,13.5,13.625
4469775d,Brian,Kelley,26,1,6,1,0,1,1,1,0,1,4,10.0,12.0
d81f20bb,Jessica,Martinez,18,1,6,1,0,1,0,1,0,1,6,12.333333333333334,12.0
5f799393,Maria,Taylor,19,2,5,1,0,1,0,1,0,1,3,12.0,11.75
547b6f1a,Connie,Gomez,20,2,7,1,0,1,0,1,0,1,6,13.5,14.0
97222734,Gregory,Villegas,18,3,5,1,0,1,0,1,0,1,4,10.666666666666666,12.0
3142a55e,James,Gonzalez,21,1,6,1,0,1,0,1,0,1,4,12.5,12.666666666666666
9fe98f48,Cheryl,Potter,18,1,6,1,0,0,0,1,0,1,4,11.5,13.75
0301d383,Alicia,Nunez,20,1,6,1,0,1,0,1,0,1,3,11.2,12.0
cf06e953,Carlos,Randall,19,2,6,1,0,1,0,1,0,1,5,13.0,10.4
c466da29,Cheryl,Santos,27,1,7,1,0,0,0,1,1,1,6,12.6,11.685714285714283
bcc6d87b,Randy,White,19,1,5,1,1,1,0,1,1,0,5,12.8,12.0
c22e924f,Matthew,Murphy,19,3,7,1,0,1,0,1,1,1,5,13.04,12.5
21f11c9e,Ian,Stephens,23,1,11,1,1,1,0,1,0,0,11,13.166666666666666,13.333333333333334
9b147215,Andrew,Joyce,20,1,6,1,0,0,0,1,1,1,5,10.6,11.166666666666666
9021a5c5,Amy,Jones,20,1,6,1,0,0,0,1,0,1,6,13.428571428571429,12.666666666666666
77903748,Andre,Glass,18,1,5,1,0,1,1,1,0,1,5,12.0,12.5
e5157c81,Sarah,Hampton,21,2,5,1,0,1,1,1,0,1,4,11.5,10.6
d5339db8,Aaron,Hopkins,20,1,6,1,0,1,0,1,0,1,6,13.333333333333334,13.0
56165349,Mark,Brown,18,2,0,1,0,1,0,1,0,1,0,0.0,0.0
91a8c202,Aaron,Gilbert,19,2,6,1,0,1,0,1,0,1,5,12.2,10.8
a8d86c54,Zachary,Adams,19,2,6,1,0,1,0,1,1,1,4,11.0,11.666666666666666
a424bcef,Sara,Rose,19,3,5,1,0,1,0,1,1,1,5,11.6,12.666666666666666
412d34ce,Katherine,Adams,18,2,5,1,0,1,0,1,0,1,4,13.5,13.4
15d44eb5,Christina,Simpson,19,1,6,1,0,1,0,1,0,1,5,13.4,13.5
47d12774,Laura,Simon,21,1,6,1,0,1,0,3,1,1,3,10.2,12.25
aa301de4,Shawn,Arnold,18,3,6,1,0,1,0,1,1,1,6,10.833333333333334,11.0
21134698,Linda,Williams,18,2,7,1,0,1,0,1,1,1,6,12.816666666666668,12.875
4442d228,Monica,Hayes,19,1,6,1,1,0,0,1,0,1,2,13.5,11.0
5386fca6,Christopher,Lopez,20,1,5,1,0,0,1,1,0,1,4,11.6,12.25
c2605531,Kimberly,Stephenson,20,1,5,1,0,0,1,1,0,1,5,12.0,13.0
f54d364b,Laura,Taylor,18,6,7,1,0,1,1,1,0,1,6,13.976666666666668,12.041666666666666
6446c822,Matthew,Fischer,19,1,6,1,0,1,1,1,0,1,4,12.5,10.0
7b45efce,Jane,Monroe,19,3,5,1,0,1,1,1,0,1,3,11.666666666666666,12.0
aa48c171,John,Wade,20,2,6,1,0,1,1,1,0,1,6,11.833333333333334,10.4
b2ec7053,Kristen,Hart,21,5,5,1,0,1,1,2,0,1,4,13.2,14.25
4c9a46f1,Amanda,Pace,18,1,5,1,0,1,1,1,0,1,5,12.0,11.4
6d643e48,Laura,Castillo,20,1,6,1,0,1,1,1,0,1,4,11.6,11.5
06b978c9,Craig,Kennedy,20,1,5,1,0,1,1,1,0,1,4,12.0,12.5
34ca36cb,Mary,Castillo,25,1,6,1,0,1,0,1,1,1,6,11.285714285714286,12.2
19840d65,Linda,Hernandez,28,1,6,1,0,0,1,4,0,1,5,12.0,12.333333333333334
a5ff4e5c,Pamela,Jones,35,1,7,1,0,0,0,2,0,1,5,13.34,10.84
8e0897ca,Richard,Cochran,27,1,8,1,0,0,0,1,0,1,7,12.457142857142856,12.457142857142856
e4b1045e,Leah,Powell,31,1,5,0,0,0,0,1,1,1,4,10.5,10.5
7d4a2817,Virginia,Potter,47,1,5,0,0,0,1,2,0,1,4,10.0,12.5
8ea1065b,Jessica,Lewis,20,1,0,1,0,0,1,1,1,1,0,0.0,0.0
f8dbbe9a,Dylan,Ramirez,18,1,0,1,0,1,1,1,0,1,0,0.0,0.0
8300eb3f,Virginia,Simmons,39,1,6,1,0,0,0,4,0,1,2,13.0,13.0
e0debd27,Anna,Price,30,1,5,1,1,0,1,1,0,1,4,14.5,16.2
d5e4e863,Samantha,Jones,41,1,6,0,0,0,0,2,0,1,4,12.25,12.5
34cbf9cd,Aaron,Shaw,18,1,6,1,0,0,0,1,0,0,5,12.6,11.8
c23fdb8e,Norma,Walsh,18,1,5,1,1,1,1,1,0,1,0,0.0,0.0
d6903597,Donald,Wiley,20,1,7,1,0,0,1,1,0,1,7,12.857142857142858,12.75
9599b5ec,Michael,Simpson,21,1,6,1,0,1,0,1,0,1,5,13.6,14.25
481c127a,Bradley,Mcneil,20,1,6,1,1,1,0,1,0,0,3,12.0,11.0
90ea54d7,Jeremiah,Moreno,20,4,6,1,0,0,0,1,0,1,6,13.166666666666666,14.0
ba5fd880,Judith,Martinez,19,1,7,1,1,0,0,1,0,1,0,0.0,11.666666666666666
6508b732,John,Stephens,45,1,12,0,0,1,0,2,0,1,12,14.0,13.857142857142858
223ff74f,Elizabeth,Walters,28,1,5,0,0,0,0,1,0,1,4,11.25,13.0
097298e2,Sheena,Cruz,18,1,0,1,0,1,1,1,1,1,0,0.0,0.0
5ff4d438,Taylor,Maxwell,18,2,6,1,0,1,0,1,0,1,1,11.0,11.0
f0319663,Ruth,Tucker,18,1,5,1,0,1,0,1,0,1,4,12.0,12.25
b0092a74,Allen,Miller,21,2,5,1,0,1,1,1,0,1,5,11.166666666666666,10.8
55937c27,Thomas,Baker,18,4,5,1,0,1,1,1,0,1,4,11.5,10.333333333333334
0f1da39b,Kevin,Rodgers,19,1,5,1,0,1,1,1,0,1,2,10.5,11.75
9347e373,Diane,House,19,1,5,1,0,0,1,1,0,1,4,12.5,11.0
34b03890,Christopher,Ortiz,22,2,7,1,0,1,1,1,0,1,6,12.833333333333334,12.5
cba7fd4a,Kathryn,Garcia,21,6,6,1,0,0,1,1,0,1,6,12.285714285714286,14.25
e4864630,Kevin,Nichols,18,2,6,1,0,1,1,1,0,1,5,11.0,10.333333333333334
4b479267,Craig,Cox,20,1,12,1,1,1,1,1,0,1,11,12.545454545454543,11.625
014ec2dd,Jessica,Parrish,18,1,6,1,0,1,1,1,0,1,6,12.666666666666666,13.6
213e2488,Brian,King,18,5,5,1,0,1,1,1,0,1,5,13.0,12.4
87c7e4f9,Jose,Moore,54,1,13,0,0,0,1,1,0,1,13,13.307692307692308,12.818181818181818
713cfccd,Heather,Porter,19,1,8,1,0,0,0,1,0,1,7,14.514285714285714,14.514285714285714
